word,sentence
ああ,ああ、そうだった！忘れてた。
会う,明日、駅で会いましょう。
青,空が青く澄んでいる。
青い,空が青い。
赤,彼女は赤いドレスを着ていた。
赤い,彼女は赤いドレスを着ていた。
明るい,彼女はいつも明るい笑顔で迎えてくれる。
秋,秋は過ごしやすい季節です。
開く,ドアを開ける。
開ける,ドアを開ける。
上げる,手を上げてください。
朝,朝早く起きて散歩に出かけた。
朝御飯,朝御飯はパンとコーヒーでした。
明後日,明後日は友達と映画を見に行きます。
足; 脚,犬が嬉しそうに**足**元に駆け寄ってきた。
明日,明日は晴れるかな。
あそこ,あれ、私の携帯、あそこにある！
遊ぶ,公園で子供たちが遊んでいます。
暖かい,今日は暖かいですね。
頭,彼は頭がいい。
新しい,新しいスマホを買いました。
あちら,お手洗いはあちらです。
暑い,今日は暑いですね。
熱い,お風呂が熱い！
厚い,この本は**厚い**。
あっち,「あっちにコンビニがあるよ。」
後,後で電話します。
あなた,「**あなた**はどちらから来ましたか？」
兄,**兄は大学で経済学を学んでいます。**
姉,姉は料理が得意です。
アパート,新しいアパートに引っ越しました。
あの,あの、すみません。道を聞いてもいいですか？
浴びる,シャワーを浴びる。
危ない,車が急に飛び出してきて、危ない！
甘い,このケーキはとても甘い。
余り,ケーキを３人で分けたけど、少し余った。
雨,今日は雨が降っています。
飴,喉が痛いので、飴を舐めた。
洗う,手を洗う。
在る,そこに本が在る。
有る,机の上に本が有る。
歩く,公園を歩くのは気持ちがいい。
あれ,あれ、鍵がない。
いい; よい,「今日は天気がいいですね。」
いいえ,「それはいりません。いいえ、結構です。」
言う,彼は「ありがとう」と言った。
家,ただいま、**家**に帰りました。
いかが,お茶でもいかがですか？
行く,明日、映画に行く。
いくつ,りんごは**いくつ**ありますか？
いくら,このりんご、いくらですか？
池,公園の池には、たくさんの鯉が泳いでいる。
医者,熱が出たので、医者に見てもらった。
椅子,どうぞ、椅子に座ってください。
忙しい,最近、仕事が忙しくてなかなか会えないね。
痛い,転んで膝が痛い。
一,**「一からやり直そう。」**
一日,今日は一日中雨だった。
一番,このケーキが一番美味しい。
いつ,明日、いつ来られますか？
五日,五日後には旅行に出発します。
一緒,明日、一緒にお昼ご飯を食べませんか？
五つ,机の上にリンゴが五つあります。
いつも,私はいつも朝食にパンを食べる。
犬,公園で犬が遊んでいる。
今,今、時間ありますか？
意味,この言葉の**意味**がわかりません。
妹,私の妹は、絵を描くのが好きです。
嫌,野菜は嫌いだ。
入口,入口はこちらです。
居る,猫が箱の中に居る。
要る,この書類にサインは要りますか？
入れる,コーヒーにミルクを入れます。
色,空の色は青い。
色々,お土産に色々買ってきました。
上,棚の**上**に猫がいます。
後ろ,彼は私の後ろを歩いていた。
薄い,この本は紙が**薄い**ので、破れないように注意してね。
歌,彼女の歌声は、聴く人の心を癒やす力がある。
歌う,彼女は楽しそうに歌う。
うち,うちは猫を飼っています。
生まれる,赤ちゃんが**生まれる**のは、本当に嬉しいことだ。
海,夏は海で泳ぐのが楽しい。
売る,古くなった服をフリマアプリで売ることにした。
うるさい,テレビの音がうるさいから、ちょっと小さくして。
上着,寒くなってきたので、上着を着て出かけよう。
絵,これは私が描いた絵です。
映画,週末は友達と映画を見に行く予定です。
映画館,週末は映画館で新作映画を観ようと思っています。
英語,**英語の授業はいつも楽しいです。**
ええ,「ええ、そうですね。」
駅,駅で友達と待ち合わせをした。
エレベーター,この建物にはエレベーターがありますか？
～円,このりんごは1個100円です。
鉛筆,メモを取るために、**鉛筆**を貸してください。
お～,お～、きれいな夕焼けだ。
美味しい,このケーキ、とても美味しい！
多い,人が多いですね。
大きい,あの犬はとても**大きい**ね。
大きな,**大きな**犬が庭を駆け回っている。
大勢,会場には**大勢**の人が集まっていた。
お母さん,「お母さん、お腹すいた。」
お菓子,今日は頑張ったから、自分にご褒美にお菓子を買おう。
お金,お金が足りなくて、欲しいものが買えなかった。
起きる,私は毎朝7時に起きます。
置く,ここに荷物を置いてもいいですか？
奥さん,「田中さんの奥さんは、とても明るくて素敵な方です。」
お酒,今夜はお酒でも飲みに行きませんか？
お皿,テーブルの上にお皿が置いてある。
伯父; 叔父さん,私の伯父は医者です。
おじいさん,おじいさんは、庭で日向ぼっこをしていた。
教える,先生が生徒に数学を教える。
押す,このボタンを**押す**とドアが開きます。
遅い,電車の到着が遅い。
