word,sentence,jlpt_level,original_index,optimal_index,number_of_unknown_tokens,unknown_tokens_in_sentence,tokenized_sentence_surface,reading,meaning
青い,空が青い。,N5,3,0,2,"空, 青い","空, が, 青い, 。",あおい,blue
開く,ドアを開ける。,N5,8,1,2,"ドア, 開ける","ドア, を, 開ける, 。",あく,"to open, to become open"
開ける,ドアを開ける。,N5,9,2,2,"ドア, 開ける","ドア, を, 開ける, 。",あける,to open (v.t.)
明日,明日は晴れるかな。,N5,15,3,2,"明日, 晴れる","明日, は, 晴れる, か, な, 。",あした,tomorrow
では,では、また明日。,N5,429,4,1,また,"で, は, 、, また, 明日, 。",では,"then, well, so"
また,また明日ね！,N5,617,5,1,また,"また, 明日, ね, ！",また,and; furthermore
じゃ; じゃあ,じゃ、また明日。,N5,308,6,1,じゃ,"じゃ, 、, また, 明日, 。",じゃ; じゃあ,"well, well then"
休み,明日は休みだ。,N5,663,7,1,休み,"明日, は, 休み, だ, 。",やすみ,holiday; day off; absence
お休み,明日はお休みです。,N2,3792,8,1,です,"明日, は, お, 休み, です, 。",おやすみ,"holiday, absence; (exp.) Good night"
熱い,お風呂が熱い！,N5,23,9,2,"風呂, 熱い","お, 風呂, が, 熱い, ！",あつい,hot (objects)
浴びる,シャワーを浴びる。,N5,32,10,2,"シャワー, 浴びる","シャワー, を, 浴びる, 。",あびる,"to bathe, to shower"
洗う,手を洗う。,N5,38,11,2,"手, 洗う","手, を, 洗う, 。",あらう,to wash
行く,明日、映画に行く。,N5,48,12,2,"映画, 行く","明日, 、, 映画, に, 行く, 。",いく; ゆく,to go
嫌,野菜は嫌いだ。,N5,68,13,2,"野菜, 嫌い","野菜, は, 嫌い, だ, 。",いや,"disagreeable, detestable, unpleasant"
色,空の色は青い。,N5,73,14,2,"空, 色","空, の, 色, は, 青い, 。",いろ,color
お～,お～、きれいな夕焼けだ。,N5,95,15,2,"きれい, 夕焼け","お, ～, 、, きれい, な, 夕焼け, だ, 。",お～,honorable ~ (honorific)
お腹,お腹が空いた。,N5,123,16,2,"お腹, 空い","お腹, が, 空い, た, 。",おなか,stomach
いっぱい,お腹いっぱい！,N4,1058,17,1,いっぱい,"お腹, いっぱい, ！",一杯,"full, to the utmost"
ぺこぺこ,お腹がぺこぺこだ。,N1,7295,18,1,ぺこぺこ,"お腹, が, ぺこぺこ, だ, 。",ぺこぺこ,"fawn, be very hungry"
買う,本を**買う**。,N5,148,19,2,"本, 買う","本, を, *, *, 買う, *, *, 。",かう,to buy
書く,手紙を**書く**。,N5,154,20,2,"手紙, 書く","手紙, を, *, *, 書く, *, *, 。",かく,to write
かぶる,帽子をかぶる。,N5,173,21,2,"帽子, かぶる","帽子, を, かぶる, 。",かぶる,"to wear, to put on (e.g., a hat on the head)"
金曜日,明日は金曜日だ！,N5,214,22,2,"金曜, 日","明日, は, 金曜, 日, だ, ！",きんようび,Friday
黒い,カラスは黒い。,N5,231,23,2,"カラス, 黒い","カラス, は, 黒い, 。",くろい,black; dark
さあ,さあ、出かけよう！,N5,272,24,2,"さあ, 出かけよう","さあ, 、, 出かけよう, ！",さあ,"come now, well"
水曜日,明日は水曜日だ。,N5,326,25,2,"水曜, 日","明日, は, 水曜, 日, だ, 。",すいようび,Wednesday
～すぎ,飲みすぎた。,N5,330,26,2,"飲み, すぎ","飲み, すぎ, た, 。",～すぎ,"past; to exceed, ~ too much"
する,明日は何を**する**の？,N5,341,27,2,"何, する","明日, は, 何, を, *, *, する, *, *, の, ？",する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
それ,それ、いいね！,N5,366,28,2,"それ, いい","それ, 、, いい, ね, ！",それ,that one
それでは,それでは、また明日。,N5,368,29,0,,"それ, で, は, 、, また, 明日, 。",それでは,"in that situation, well then..."
何,それ、何？,N5,482,30,1,何,"それ, 、, 何, ？",なん; なに,what
為る,明日は何をする？,N3,1619,31,0,,"明日, は, 何, を, する, ？",する,"to do, to attempt"
何～,何してるの？,N5,489,32,1,てる,"何, し, てる, の, ？",なん～,what sort of ~
本当,「それ、本当？」,N5,605,33,1,本当,"「, それ, 、, 本当, ？, 」",ほんとう,"real, true"
今晩,今晩は何を食べようかな。,N5,271,34,2,"今晩は, 食べよう","今晩は, 何, を, 食べよう, か, な, 。",こんばん,"tonight, this evening"
次,次は何をしようか？,N5,411,35,2,"次, しよう","次, は, 何, を, しよう, か, ？",つぎ,next
出る,汗が**出る**。,N5,432,36,2,"汗, 出る","汗, が, *, *, 出る, *, *, 。",でる,"to appear, to leave"
どう,「体調はどう？」,N5,442,37,2,"体調, どう","「, 体調, は, どう, ？, 」",どう,"how, in what way"
どうして,どうして遅刻したの？,N5,443,38,1,遅刻,"どう, し, て, 遅刻, し, た, の, ？",どうして,"why, for what reason"
どれ,どれにしますか？,N5,469,39,2,"どれ, ます","どれ, に, し, ます, か, ？",どれ,which one
ない,お金が**ない**。,N5,471,40,2,"金, ない","お, 金, が, *, *, ない, *, *, 。",ない,"there isn't, doesn't have"
あれ,あれ、鍵がない。,N5,42,41,2,"あれ, 鍵","あれ, 、, 鍵, が, ない, 。",あれ,that one (over there)
なぜ,なぜ遅れたの？,N5,477,42,2,"なぜ, 遅れ","なぜ, 遅れ, た, の, ？",なぜ,why (same as どうして)
晴れる,明日は晴れるでしょう。,N5,541,43,2,"晴れる, でしょう","明日, は, 晴れる, でしょう, 。",はれる,to be sunny
きっと,明日はきっと晴れるよ。,N4,1129,44,1,きっと,"明日, は, きっと, 晴れる, よ, 。",きっと,"surely, definitely, undoubtedly, certainly"
晩,今晩は何を食べようかな。,N5,543,45,2,"今晩は, 食べよう","今晩は, 何, を, 食べよう, か, な, 。",ばん,evening
丸い; 円い,月は丸い。,N5,624,46,2,"月, 丸い","月, は, 丸い, 。",まるい,"round, circular"
悪い,お腹の調子が悪い。,N5,709,47,2,"調子, 悪い","お腹, の, 調子, が, 悪い, 。",わるい,"bad, sinful; inferior"
うん,「うん、わかった。」,N4,761,48,2,"うん, わかっ","「, うん, 、, わかっ, た, 。, 」",うん,"yes (informal), all right (ok)"
壊れる,おもちゃが壊れた。,N4,804,49,2,"おもちゃ, 壊れ","おもちゃ, が, 壊れ, た, 。",こわれる,"to be broken, to break"
頑張る,明日の試験、頑張るぞ！,N4,862,50,2,"試験, 頑張る","明日, の, 試験, 、, 頑張る, ぞ, ！",がんばる,"to try one's best, to try hard, to persist"
投げる,ボールを投げる。,N4,863,51,2,"ボール, 投げる","ボール, を, 投げる, 。",なげる,"to pitch, to cast away"
受ける,試験を受ける。,N4,866,52,2,"試験, 受ける","試験, を, 受ける, 。",うける,"to take (an examination, interview, etc.); to receive"
パパ,「パパ、おやすみ。」,N4,889,53,2,"パパ, やすみ","「, パパ, 、, お, やすみ, 。, 」",パパ,"papa, daddy"
試合,明日の試合、頑張ってね！,N4,908,54,2,"試合, 頑張っ","明日, の, 試合, 、, 頑張っ, て, ね, ！",しあい,"match, game, competition"
応援,試合、**応援**に行くね！,N3,1853,55,1,応援,"試合, 、, *, *, 応援, *, *, に, 行く, ね, ！",おうえん,"aid, assistance, help"
ファイト,明日の試合、ファイト！,N1,7193,56,1,ファイト,"明日, の, 試合, 、, ファイト, ！",ファイト,fight
素晴らしい,景色が素晴らしい！,N4,910,57,2,"景色, 素晴らしい","景色, が, 素晴らしい, ！",すばらしい,wonderful; terrific
立てる,計画を立てる。,N4,936,58,2,"計画, 立てる","計画, を, 立てる, 。",たてる,"to stand (something) up, to erect (something)"
はず,明日は晴れるはずです。,N4,1005,59,2,"はず, です","明日, は, 晴れる, はず, です, 。",はず,it should be so
予約,明日のディナー、予約したよ。,N4,1047,60,2,"ディナー, 予約","明日, の, ディナー, 、, 予約, し, た, よ, 。",よやく,reservation
取り消す,予約を取り消す。,N2,4539,61,1,取り消す,"予約, を, 取り消す, 。",とりけす,to cancel
打つ,ボールを打つ。,N4,1068,62,2,"ボール, 打つ","ボール, を, 打つ, 。",うつ,"to hit, to strike"
変える,髪型を変えた。,N4,1100,63,2,"髪型, 変え","髪型, を, 変え, た, 。",かえる,"to change, to alter, to vary"
沸かす,お湯を沸かす。,N4,1103,64,2,"湯, 沸かす","お, 湯, を, 沸かす, 。",わかす,to boil
そろそろ,そろそろ出かけようか。,N4,1166,65,2,"そろそろ, 出かけよう","そろそろ, 出かけよう, か, 。",そろそろ,"gradually, soon"
負ける,試合に負けて、悔しかった。,N4,1175,66,2,"負け, 悔しかっ","試合, に, 負け, て, 、, 悔しかっ, た, 。",まける,"to lose (a game) (v.i.), to be defeated"
下る,坂道を下る。,N4,1212,67,2,"坂道, 下る","坂道, を, 下る, 。",さがる,"to descend, to drop, to fall"
取り替える,電球を取り替える。,N4,1305,68,2,"電球, 取り替える","電球, を, 取り替える, 。",とりかえる,"to exchange, to replace"
上がる,気温が上がる。,N4,1337,69,2,"気温, 上がる","気温, が, 上がる, 。",あがる,"to rise, to go up"
楽しみ,明日のピクニック、**楽しみ**だね！,N4,1365,70,2,"ピクニック, 楽しみ","明日, の, ピクニック, 、, *, *, 楽しみ, *, *, だ, ね, ！",たのしみ,"pleasure, joy"
デート,明日のデート、楽しみだね！,N3,2882,71,1,デート,"明日, の, デート, 、, 楽しみ, だ, ね, ！",デート,date (in the sense of 'social engagement' only)
実行,プログラムを**実行**する。,N3,1427,72,2,"プログラム, 実行","プログラム, を, *, *, 実行, *, *, する, 。",じっこう,"practice, execution (e.g., program), realization"
支払う,家賃を支払う。,N3,1446,73,2,"家賃, 支払う","家賃, を, 支払う, 。",しはらう,to pay
墨,書道で墨をする。,N3,1614,74,2,"書道, 墨","書道, で, 墨, を, する, 。",すみ,ink
当たる,宝くじが当たった！,N3,1696,75,2,"宝くじ, 当たっ","宝くじ, が, 当たっ, た, ！",あたる,"to be hit, to be successful"
一体,一体何が起こったんだ？,N3,1766,76,2,"一体, 起こっ","一体, 何, が, 起こっ, た, ん, だ, ？",いったい,one object; body; what on earth?; generally
討つ,敵を討つ。,N3,1811,77,2,"敵, 討つ","敵, を, 討つ, 。",うつ,"to attack, to avenge"
押える,痛むお腹を**押える**。,N3,1867,78,2,"痛む, 押える","痛む, お腹, を, *, *, 押える, *, *, 。",おさえる,"to stop, to restrain, to press down"
お前,「お前、また遅刻かよ。」,N3,1890,79,2,"お前, 遅刻","「, お前, 、, また, 遅刻, か, よ, 。, 」",おまえ,"you (sing), presence (of a high personage)"
罹る,インフルエンザに罹る。,N3,1939,80,2,"インフルエンザ, 罹る","インフルエンザ, に, 罹る, 。",かかる,to suffer from
食う,昼飯を食う。,N3,2135,81,2,"昼飯, 食う","昼飯, を, 食う, 。",くう,(male) (vulg.) to eat
公平,試合は公平に行われた。,N3,2254,82,2,"公平, 行わ","試合, は, 公平, に, 行わ, れ, た, 。",こうへい,"fairness, impartial, justice"
ママ,「ママ、お腹すいた。」,N3,2351,83,2,"ママ, すい","「, ママ, 、, お腹, すい, た, 。, 」",ママ,Mama
結ぶ,靴ひもを結ぶ。,N3,2386,84,2,"靴ひも, 結ぶ","靴ひも, を, 結ぶ, 。",むすぶ,"to tie, to bind, to link"
申し込む,イベントに申し込む。,N3,2409,85,2,"イベント, 申し込む","イベント, に, 申し込む, 。",もうしこむ,"to apply for, to make an application"
茹でる,ブロッコリーを茹でる。,N3,2465,86,2,"ブロッコリー, 茹でる","ブロッコリー, を, 茹でる, 。",ゆでる,to boil
湧く,温泉が湧く。,N3,2539,87,2,"温泉, 湧く","温泉, が, 湧く, 。",わく,"to boil, to grow hot"
絶滅,恐竜は絶滅した。,N3,2637,88,2,"恐竜, 絶滅","恐竜, は, 絶滅, し, た, 。",ぜつめつ,"destruction, extinction"
倒す,敵を倒す。,N3,2726,89,2,"敵, 倒す","敵, を, 倒す, 。",たおす,"to throw down, to beat"
焚く,お香を焚く。,N3,2734,90,2,"香, 焚く","お, 香, を, 焚く, 。",たく,"to burn, to kindle, to build a fire"
火,キャンプで火を焚く。,N4,991,91,2,"キャンプ, 火","キャンプ, で, 火, を, 焚く, 。",ひ,fire
なにも,なにも買ってないよ。,N3,2997,92,2,"なに, 買っ","なに, も, 買っ, て, ない, よ, 。",なにも,nothing
抜く,雑草を抜く。,N3,3023,93,2,"雑草, 抜く","雑草, を, 抜く, 。",ぬく,"to extract, to omit, to unplug"
